Train ID,Date/Time,Status,Delay,Dwell,Location,Station,Door
JM0402,28.10.202416:15:23,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:24,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:03,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:24,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:03,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:24,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:03,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:25,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:25,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:26,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:26,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:27,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:27,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:27,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:28,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:28,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:29,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:29,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:29,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.2024 16:15:30,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.2024 16:15:30,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.2024 16:15:31,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:09,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.2024 16:15:31,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
JM0402,28.10.202416:15:32,AM direction A,First train: delay <= 3:00 minute and early <= 1:00 minute,+00:00,1,Lo Wu,"Train is detected stop, Not berthed, Door closed"
